categories,place_name,place_name_link,review_count_x,review_count_link,thumbnail_image,thumbnail_image_alt,thumbnail_image_link,url_x,url_y,review_count_y,rating,review_talk_1,review_talk_2,review_talk_3,address,postcode
"Bars & Clubs, Specialty Museums","The Viktor Wynd Museum of Curiosities, Fine Art & Natural History",https://www.tripadvisor.com/Attraction_Review-g186338-d7610793-Reviews-c49-The_Viktor_Wynd_Museum_of_Curiosities_Fine_Art_Natural_History-London_England.html,233 Reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d7610793-Reviews-c49-The_Viktor_Wynd_Museum_of_Curiosities_Fine_Art_Natural_History-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/07/50/7c/45/the-viktor-wynd-museum.jpg,"The Viktor Wynd Museum of Curiosities, Fine Art & Natural History",https://www.tripadvisor.com/Attraction_Review-g186338-d7610793-Reviews-c49-The_Viktor_Wynd_Museum_of_Curiosities_Fine_Art_Natural_History-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d7610793-Reviews-c49-The_Viktor_Wynd_Museum_of_Curiosities_Fine_Art_Natural_History-London_England.html,233,4.5,“cocktail bar”,“petting zoo”,“shrunken heads”,"11 Mare Street, London E8 4RP, England","London E8 4RP,"
Specialty Museums,Two Temple Place,https://www.tripadvisor.com/Attraction_Review-g186338-d6580320-Reviews-c49-Two_Temple_Place-London_England.html,153 Reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d6580320-Reviews-c49-Two_Temple_Place-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/05/ca/e7/b0/two-temple-place.jpg,Two Temple Place,https://www.tripadvisor.com/Attraction_Review-g186338-d6580320-Reviews-c49-Two_Temple_Place-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d6580320-Reviews-c49-Two_Temple_Place-London_England.html,153,4.5,“william waldorf astor”,“open to the public”,“stained glass windows”,"2 Temple Place, London WC2R 3BD, England","London WC2R 3BD,"
Art Galleries,White Cube Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d3700277-Reviews-c49-White_Cube_Gallery-London_England.html,104 Reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d3700277-Reviews-c49-White_Cube_Gallery-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/04/79/40/da/white-cube-gallery.jpg,White Cube Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d3700277-Reviews-c49-White_Cube_Gallery-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d3700277-Reviews-c49-White_Cube_Gallery-London_England.html,104,4.0,“contemporary art”,“bermondsey street”,“blank canvas”,"144 _ 152 Bermondsey Street, London SE1 3TQ, England","London SE1 3TQ,"
Art Galleries,Camden Arts Center,https://www.tripadvisor.com/Attraction_Review-g186338-d310374-Reviews-c49-Camden_Arts_Center-London_England.html,12 Reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d310374-Reviews-c49-Camden_Arts_Center-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/08/75/86/d1/camden-arts-center.jpg,Camden Arts Center,https://www.tripadvisor.com/Attraction_Review-g186338-d310374-Reviews-c49-Camden_Arts_Center-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d310374-Reviews-c49-Camden_Arts_Center-London_England.html,12,4.5,“finchley road”,“book shop”,“contemporary art”,"Arkwright Road, London NW3 6DG, England","London NW3 6DG,"
Art Galleries,Howard Griffin Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d7824688-Reviews-c49-Howard_Griffin_Gallery-London_England.html,12 Reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d7824688-Reviews-c49-Howard_Griffin_Gallery-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/07/a0/df/bd/gallery-view.jpg,Howard Griffin Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d7824688-Reviews-c49-Howard_Griffin_Gallery-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d7824688-Reviews-c49-Howard_Griffin_Gallery-London_England.html,12,4.5,,,,"189 Shoreditch High Street, London E1 6HU, England","London E1 6HU,"
Art Galleries,Origin Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d11829666-Reviews-c49-Origin_Gallery-London_England.html,6 Reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d11829666-Reviews-c49-Origin_Gallery-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/0f/79/48/b0/enabling-artisan-shopping.jpg,Origin Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d11829666-Reviews-c49-Origin_Gallery-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d11829666-Reviews-c49-Origin_Gallery-London_England.html,6,4.5,,,,"10A Greenwich Market | Greenwich, London SE10 9HZ, England","London SE10 9HZ,"
Art Museums,National Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d188862-Reviews-National_Gallery-London_England.html,"32,679 reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d188862-Reviews-National_Gallery-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/08/15/74/b2/galeria-nacional.jpg,National Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d188862-Reviews-National_Gallery-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d188862-Reviews-National_Gallery-London_England.html,"32,698",4.5,“trafalgar square”,“van gogh”,“famous paintings”,"Trafalgar Square, London WC2N 5DN, England","London WC2N 5DN,"
Art Museums,British Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d187555-Reviews-British_Museum-London_England.html,"60,601 reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d187555-Reviews-British_Museum-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/03/56/93/eb/british-museum-exterior.jpg,British Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d187555-Reviews-British_Museum-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d187555-Reviews-British_Museum-London_England.html,"60,623",4.5,“rosetta stone”,“elgin marbles”,“egyptian mummies”,"Great Russell Street, London WC1B 3DG, England","London WC1B 3DG,"
Art Museums,V&A - Victoria and Albert Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d187556-Reviews-V_A_Victoria_and_Albert_Museum-London_England.html,"26,301 reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d187556-Reviews-V_A_Victoria_and_Albert_Museum-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-s/09/27/6e/8e/v-a-victoria-and-albert.jpg,V&A - Victoria and Albert Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d187556-Reviews-V_A_Victoria_and_Albert_Museum-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d187556-Reviews-V_A_Victoria_and_Albert_Museum-London_England.html,"26,305",4.5,“pink floyd”,“alexander mcqueen”,“decorative arts”,"Cromwell Road, London SW7 2RL, England","London SW7 2RL,"
Historic Sites,Churchill War Rooms,https://www.tripadvisor.com/Attraction_Review-g186338-d194299-Reviews-Churchill_War_Rooms-London_England.html,"17,985 reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d194299-Reviews-Churchill_War_Rooms-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-i/0e/ad/89/aa/photo5jpg.jpg,Churchill War Rooms,https://www.tripadvisor.com/Attraction_Review-g186338-d194299-Reviews-Churchill_War_Rooms-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d194299-Reviews-Churchill_War_Rooms-London_England.html,"17,993",4.5,“map room”,“underground bunker”,“audio guide”,"Clive Steps | King Charles Street, London SW1A 2AQ, England","London SW1A 2AQ,"
History Museums,Natural History Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d187676-Reviews-Natural_History_Museum-London_England.html,"29,841 reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d187676-Reviews-Natural_History_Museum-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-i/02/5c/2f/85/the-main-hall-staircase.jpg,Natural History Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d187676-Reviews-Natural_History_Museum-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d187676-Reviews-Natural_History_Museum-London_England.html,"29,847",4.5,“blue whale”,“t rex”,“dinosaur section”,"Cromwell Road | South Kensington, London SW7 5BD, England","London SW7 5BD,"
Historic Sites,Wallace Collection,https://www.tripadvisor.com/Attraction_Review-g186338-d187558-Reviews-Wallace_Collection-London_England.html,"5,814 reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d187558-Reviews-Wallace_Collection-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/01/5e/50/9a/large-drawing-room.jpg,Wallace Collection,https://www.tripadvisor.com/Attraction_Review-g186338-d187558-Reviews-Wallace_Collection-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d187558-Reviews-Wallace_Collection-London_England.html,"5,816",4.5,“laughing cavalier”,“oxford street”,“hertford house”,"Hertford House Manchester Square | Manchester Square, London W1U 3BN, England","London W1U 3BN,"
Art Museums,The Courtauld Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d1632504-Reviews-The_Courtauld_Gallery-London_England.html,"3,295 reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d1632504-Reviews-The_Courtauld_Gallery-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/02/3a/63/ee/the-courtauld-gallery.jpg,The Courtauld Gallery,https://www.tripadvisor.com/Attraction_Review-g186338-d1632504-Reviews-The_Courtauld_Gallery-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d1632504-Reviews-The_Courtauld_Gallery-London_England.html,"3,296",4.5,“somerset house”,“van gogh”,“impressionist paintings”,"Somerset House Strand | Somerset House, London WC2R 0RN, England","London WC2R 0RN,"
History Museums,The Charterhouse,https://www.tripadvisor.com/Attraction_Review-g186338-d215389-Reviews-The_Charterhouse-London_England.html,145 reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d215389-Reviews-The_Charterhouse-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-s/06/1a/12/79/the-outside.jpg,The Charterhouse,https://www.tripadvisor.com/Attraction_Review-g186338-d215389-Reviews-The_Charterhouse-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d215389-Reviews-The_Charterhouse-London_England.html,145,5.0,“standard tour”,“small museum”,“guided tour”,"The Charterhouse Charterhouse Square, London EC1M 6AN, England","London EC1M 6AN,"
Theaters,The Magic Circle,https://www.tripadvisor.com/Attraction_Review-g186338-d3533244-Reviews-The_Magic_Circle-London_England.html,194 reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d3533244-Reviews-The_Magic_Circle-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/04/09/ab/53/the-magic-circle.jpg,The Magic Circle,https://www.tripadvisor.com/Attraction_Review-g186338-d3533244-Reviews-The_Magic_Circle-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d3533244-Reviews-The_Magic_Circle-London_England.html,194,4.5,“christmas show”,“front row”,“fantastic evening”,"12 Stephenson Way, London NW1 2HD, England","London NW1 2HD,"
Gift & Specialty Shops,House of Minalima,https://www.tripadvisor.com/Attraction_Review-g186338-d10737030-Reviews-House_of_Minalima-London_England.html,139 reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d10737030-Reviews-House_of_Minalima-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/0d/1d/1e/e7/letters-arrived.jpg,House of Minalima,https://www.tripadvisor.com/Attraction_Review-g186338-d10737030-Reviews-House_of_Minalima-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d10737030-Reviews-House_of_Minalima-London_England.html,139,4.5,“for harry potter fans”,“graphic design”,“palace theatre”,"26 Greek Street, London W1D 5DE, England","London W1D 5DE,"
Arenas & Stadiums,Arsenal Stadium Tours & Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d1775127-Reviews-Arsenal_Stadium_Tours_Museum-London_England.html,"1,895 reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d1775127-Reviews-Arsenal_Stadium_Tours_Museum-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/07/e8/bd/5e/arsenal-stadium-tour.jpg,Arsenal Stadium Tours & Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d1775127-Reviews-Arsenal_Stadium_Tours_Museum-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d1775127-Reviews-Arsenal_Stadium_Tours_Museum-London_England.html,"1,895",4.5,“arsenal fan”,“charlie george”,“directors box”,"75 Drayton Park | Emirates Stadium, London N5 1BU, England","London N5 1BU,"
Specialty Museums,Wimbledon Lawn Tennis Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d548466-Reviews-Wimbledon_Lawn_Tennis_Museum-London_England.html,"1,051 reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d548466-Reviews-Wimbledon_Lawn_Tennis_Museum-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/08/4c/ba/31/wimbledon-lawn-tennis.jpg,Wimbledon Lawn Tennis Museum,https://www.tripadvisor.com/Attraction_Review-g186338-d548466-Reviews-Wimbledon_Lawn_Tennis_Museum-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d548466-Reviews-Wimbledon_Lawn_Tennis_Museum-London_England.html,"1,052",4.5,“henman hill”,“press room”,“center court”,"Church Road, Wimbledon | All England Lawn Tennis and Croquet Club, London SW19 5AG, England","London SW19 5AG,"
Specialty Museums,Madame Tussauds London,https://www.tripadvisor.com/Attraction_Review-g186338-d187535-Reviews-Madame_Tussauds_London-London_England.html,"26,515 reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d187535-Reviews-Madame_Tussauds_London-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/0f/2f/d0/61/madame-tussauds-london.jpg,Madame Tussauds London,https://www.tripadvisor.com/Attraction_Review-g186338-d187535-Reviews-Madame_Tussauds_London-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d187535-Reviews-Madame_Tussauds_London-London_England.html,"26,521",4.0,“wax works”,“star wars”,“wax museum”,"Marylebone Road, London NW1 5LR, England","London NW1 5LR,"
Specialty Museums,Two Temple Place,https://www.tripadvisor.com/Attraction_Review-g186338-d6580320-Reviews-Two_Temple_Place-London_England.html,153 reviews,https://www.tripadvisor.com/Attraction_Review-g186338-d6580320-Reviews-Two_Temple_Place-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-s/05/ca/e7/b0/two-temple-place.jpg,Two Temple Place,https://www.tripadvisor.com/Attraction_Review-g186338-d6580320-Reviews-Two_Temple_Place-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d6580320-Reviews-Two_Temple_Place-London_England.html,153,4.5,“william waldorf astor”,“open to the public”,“stained glass windows”,"2 Temple Place, London WC2R 3BD, England","London WC2R 3BD,"
Specialty Museums,The Royal Air Force Museum London,https://www.tripadvisor.com/Attraction_Review-g186338-d215615-Reviews-The_Royal_Air_Force_Museum_London-London_England.html,"3,024 reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d215615-Reviews-The_Royal_Air_Force_Museum_London-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/03/93/95/dd/the-royal-air-force-museum.jpg,The Royal Air Force Museum London,https://www.tripadvisor.com/Attraction_Review-g186338-d215615-Reviews-The_Royal_Air_Force_Museum_London-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d215615-Reviews-The_Royal_Air_Force_Museum_London-London_England.html,"3,024",4.5,“battle of britain”,“aviation history”,“northern line”,"Grahame Park Way | Colindale, London NW9 5LL, England","London NW9 5LL,"
Libraries,British Library,https://www.tripadvisor.com/Attraction_Review-g186338-d187728-Reviews-British_Library-London_England.html,"3,390 reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d187728-Reviews-British_Library-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-f/03/13/dd/af/the-cafe-and-part-of.jpg,British Library,https://www.tripadvisor.com/Attraction_Review-g186338-d187728-Reviews-British_Library-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d187728-Reviews-British_Library-London_England.html,"3,390",4.5,“magna carta”,“gutenberg bible”,“historical documents”,"96 Euston Road, London NW1 2DB, England","London NW1 2DB,"
Art Museums,Tate Britain,https://www.tripadvisor.com/Attraction_Review-g186338-d188865-Reviews-Tate_Britain-London_England.html,"3,281 reviews",https://www.tripadvisor.com/Attraction_Review-g186338-d188865-Reviews-Tate_Britain-London_England.html#REVIEWS,https://media-cdn.tripadvisor.com/media/photo-s/01/cc/3a/1d/tate-britain.jpg,Tate Britain,https://www.tripadvisor.com/Attraction_Review-g186338-d188865-Reviews-Tate_Britain-London_England.html,https://www.tripadvisor.co.uk/Attractions-g186338-Activities-c49-London_England.html,https://www.tripadvisor.com/Attraction_Review-g186338-d188865-Reviews-Tate_Britain-London_England.html,"3,282",4.5,“hockney exhibition”,“british artists”,“pre raphaelite”,"Millbank, London SW1P 4RG, England","London SW1P 4RG,"
