name,name_link,review_count_link,cuisines_block_x,cuisines_categories,cuisines_categories_link,reviews,url_y,rating,cuisines_block,price_group,review_count,review_talk_1,review_talk_2,review_talk_3,address,postcode,thumbnail,thumbnail_alt_x,thumbnail_alt_y,categories,reviews_combined,rev_cat_soup
Fishers Fish and Chips,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3515065-Reviews-Fishers_Fish_and_Chips-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3515065-Reviews-Fishers_Fish_and_Chips-London_England.html#REVIEWS,£ Seafood Fast food British Gluten Free Options,Seafood; Fast food; British; Gluten Free Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c33-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c10646-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c7-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10992-London_England.html,Lovely; Awesome Food!!!!!,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3515065-Reviews-Fishers_Fish_and_Chips-London_England.html,4.5,"Seafood, Fast Food, British, Gluten Free Options",$,722,“fish and chips”,“banana fritters”,“sweet potato fries”,"19 Fulham High Street, London SW6 3JH, England",SW6 3JH,https://media-cdn.tripadvisor.com/media/photo-w/0d/d7/b3/25/photo0jpg.jpg,,,seafood fastfood british glutenfreeoptions,Lovely Awesome Food fish and chips banana fritters sweet potato fries,Lovely Awesome Food fish and chips banana fritters sweet potato fries seafood fastfood british glutenfreeoptions
London Shell Co,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d11838878-Reviews-London_Shell_Co-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d11838878-Reviews-London_Shell_Co-London_England.html#REVIEWS,££££ Seafood British Gluten Free Options,Seafood; British; Gluten Free Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c33-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c7-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10992-London_England.html,Superlative venue; A unique and memorable dinning experience...,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d11838878-Reviews-London_Shell_Co-London_England.html,5.0,"Seafood, British, Gluten Free Options",$$$$,96,“oysters”,“cod”,“cured salmon”,"Sheldon Square | Regent's Canal, London W2 6EP, England",W2 6EP,https://media-cdn.tripadvisor.com/media/photo-s/12/c9/e2/4e/photo4jpg.jpg,,,seafood british glutenfreeoptions,Superlative venue A unique and memorable dinning experience oysters cod cured salmon,Superlative venue A unique and memorable dinning experience oysters cod cured salmon seafood british glutenfreeoptions
L'oro di Napoli,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7290752-Reviews-L_oro_di_Napoli-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7290752-Reviews-L_oro_di_Napoli-London_England.html#REVIEWS,£ Italian Pizza Vegetarian Friendly Vegan Options,Italian; Pizza; Vegetarian Friendly; Vegan Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c26-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c31-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10697-London_England.html,Best pizza in London (and probably not onl...; Simple authentic Napoli Pizza,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7290752-Reviews-L_oro_di_Napoli-London_England.html,4.5,"Italian, Pizza, Vegetarian Friendly, Vegan Options",$,505,“pizza”,“pastiera”,“italian pizzeria”,"6 The Quadrant Little Ealing Lane, London W5 4EE, England",W5 4EE,https://media-cdn.tripadvisor.com/media/photo-s/12/bb/38/cd/photo0jpg.jpg,,,italian pizza vegetarianfriendly veganoptions,Best pizza in London (and probably not onl Simple authentic Napoli Pizza pizza pastiera italian pizzeria,Best pizza in London (and probably not onl Simple authentic Napoli Pizza pizza pastiera italian pizzeria italian pizza vegetarianfriendly veganoptions
Zaman,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1044661-Reviews-Zaman-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1044661-Reviews-Zaman-London_England.html#REVIEWS,££ - £££ European Middle Eastern Arabic Vegetarian Friendly Vegan Options Halal Gluten Free Options,European; Middle Eastern; Arabic; Vegetarian Friendly; Vegan Options; Halal; Gluten Free Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c18-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c30-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c11744-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10697-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10751-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10992-London_England.html,Excellent Dinner; great food and menu,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1044661-Reviews-Zaman-London_England.html,4.5,"European, Middle Eastern, Arabic, Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",$$ - $$$,160,“king prawns”,“makhani”,“wagyu ribeye”,"Old Quebec Street | The Sportsman Casino, London W1H 7AF, England",W1H 7AF,https://media-cdn.tripadvisor.com/media/photo-o/05/17/4a/77/the-sportsman-casino.jpg,,,european middleeastern arabic vegetarianfriendly veganoptions halal glutenfreeoptions,Excellent Dinner great food and menu king prawns makhani wagyu ribeye,Excellent Dinner great food and menu king prawns makhani wagyu ribeye european middleeastern arabic vegetarianfriendly veganoptions halal glutenfreeoptions
Gastronhome,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5561842-Reviews-Gastronhome-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5561842-Reviews-Gastronhome-London_England.html#REVIEWS,££££ French Gluten Free Options Vegetarian Friendly Vegan Options,French; Gluten Free Options; Vegetarian Friendly; Vegan Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c20-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10992-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10697-London_England.html,Highly recommended; Amazing,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5561842-Reviews-Gastronhome-London_England.html,5.0,"Search available times for this restaurant; French, Gluten Free Options, Vegetarian Friendly, Vegan Options",$$$$,594,“tasting menu”,“rabbit”,“mousse”,"59 Lavender Hill | Gastronhome, London SW11 5QN, England",SW11 5QN,https://media-cdn.tripadvisor.com/media/photo-w/08/b3/af/fe/gastronhome.jpg,,,french glutenfreeoptions vegetarianfriendly veganoptions,Highly recommended Amazing tasting menu rabbit mousse,Highly recommended Amazing tasting menu rabbit mousse french glutenfreeoptions vegetarianfriendly veganoptions
Zeret Kitchen,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1748899-Reviews-Zeret_Kitchen-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1748899-Reviews-Zeret_Kitchen-London_England.html#REVIEWS,££ - £££ African Ethiopian Vegetarian Friendly Vegan Options Gluten Free Options,African; Ethiopian; Vegetarian Friendly; Vegan Options; Gluten Free Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c1-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c10785-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10697-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10992-London_England.html,Delicious Ethiopian food!; Loads of Delicious Vegetarian and Vegan Op...,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1748899-Reviews-Zeret_Kitchen-London_England.html,5.0,"Search available times for this restaurant; African, Ethiopian, Vegetarian Friendly, Vegan Options, Gluten Free Options",$$ - $$$,503,“injera”,“bread”,“kitfo”,"216-218 Camberwell Road, London SE5 0ED, England",SE5 0ED,https://media-cdn.tripadvisor.com/media/photo-s/12/9f/12/8e/photo6jpg.jpg,,,african ethiopian vegetarianfriendly veganoptions glutenfreeoptions,Delicious Ethiopian food Loads of Delicious Vegetarian and Vegan Op injera bread kitfo,Delicious Ethiopian food Loads of Delicious Vegetarian and Vegan Op injera bread kitfo african ethiopian vegetarianfriendly veganoptions glutenfreeoptions
Cirrik 19 Numara Bos,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d730384-Reviews-Cirrik_19_Numara_Bos-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d730384-Reviews-Cirrik_19_Numara_Bos-London_England.html#REVIEWS,££ - £££ Mediterranean Barbecue Turkish Middle Eastern Vegetarian Friendly Vegan Options Halal Gluten Free Options,Mediterranean; Barbecue; Turkish; Middle Eastern; Vegetarian Friendly; Vegan Options; Halal; Gluten Free Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c28-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c6-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c10663-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c30-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10697-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10751-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10992-London_England.html,Good evening; Full of character,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d730384-Reviews-Cirrik_19_Numara_Bos-London_England.html,4.5,"Mediterranean, Barbecue, Turkish, Middle Eastern, Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",$$ - $$$,173,“beyti”,“kebab”,“bread”,"34 Stoke Newington Road, London N16 7XJ, England",N16 7XJ,https://media-cdn.tripadvisor.com/media/photo-o/08/4b/10/ef/19-numara-bos-cirrik.jpg,,,mediterranean barbecue turkish middleeastern vegetarianfriendly veganoptions halal glutenfreeoptions,Good evening Full of character beyti kebab bread,Good evening Full of character beyti kebab bread mediterranean barbecue turkish middleeastern vegetarianfriendly veganoptions halal glutenfreeoptions
Iran Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d733340-Reviews-Iran_Restaurant-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d733340-Reviews-Iran_Restaurant-London_England.html#REVIEWS,££ - £££ Middle Eastern Persian Vegetarian Friendly Vegan Options Halal Gluten Free Options,Middle Eastern; Persian; Vegetarian Friendly; Vegan Options; Halal; Gluten Free Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c30-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c10765-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10697-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10751-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10992-London_England.html,Single mid week (female) visitor; Tastes like my mother’s food,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d733340-Reviews-Iran_Restaurant-London_England.html,4.5,"Middle Eastern, Persian, Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",$$ - $$$,"1,726",“kebab”,“sabzi”,“mixed grill”,"27 Shepherd Market | Mayfair, London W1J 7PR, England",W1J 7PR,,,,middleeastern persian vegetarianfriendly veganoptions halal glutenfreeoptions,Single mid week (female) visitor Tastes like my mother’s food kebab sabzi mixed grill,Single mid week (female) visitor Tastes like my mother’s food kebab sabzi mixed grill middleeastern persian vegetarianfriendly veganoptions halal glutenfreeoptions
Lokkanta Meze & Barbeque,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7136330-Reviews-Lokkanta_Meze_Barbeque-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7136330-Reviews-Lokkanta_Meze_Barbeque-London_England.html#REVIEWS,££ - £££ Barbecue Turkish Middle Eastern Mediterranean Healthy Vegetarian Friendly Vegan Options Halal Gluten Free Options,Barbecue; Turkish; Middle Eastern; Mediterranean; Healthy; Vegetarian Friendly; Vegan Options; Halal; Gluten Free Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c6-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c10663-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c30-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c28-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c10679-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10697-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10751-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10992-London_England.html,"Wonderfull restaurant, excellent service.; Enjoyable",https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7136330-Reviews-Lokkanta_Meze_Barbeque-London_England.html,4.5,"Barbecue, Turkish, Middle Eastern, Mediterranean, Healthy, Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options; "" We had an excellent meal here on New Year's Eve.""; ""The food was fantastic.""; ""Turkish restaurant a few hundred feet from my hotel I couldn't resist""",$$ - $$$,684,“kebab”,“hummus”,“baklava”,"31 Westbourne Grove, London W2 4UA, England",W2 4UA,,,,barbecue turkish middleeastern mediterranean healthy vegetarianfriendly veganoptions halal glutenfreeoptions,Wonderfull restaurant excellent service Enjoyable kebab hummus baklava,Wonderfull restaurant excellent service Enjoyable kebab hummus baklava barbecue turkish middleeastern mediterranean healthy vegetarianfriendly veganoptions halal glutenfreeoptions
Kibele Restaurant & Bar,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12290895-Reviews-Kibele_Restaurant_Bar-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12290895-Reviews-Kibele_Restaurant_Bar-London_England.html#REVIEWS,££ - £££ Mediterranean European Turkish Middle Eastern Vegetarian Friendly Vegan Options Halal Gluten Free Options,Mediterranean; European; Turkish; Middle Eastern; Vegetarian Friendly; Vegan Options; Halal; Gluten Free Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c28-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c18-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c10663-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c30-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10697-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10751-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10992-London_England.html,I knew it would be good from the start; Turkish Breakfast,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12290895-Reviews-Kibele_Restaurant_Bar-London_England.html,4.5,"Mediterranean, European, Turkish, Middle Eastern, Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",$$ - $$$,334,“baklava”,“borek”,“kunefe”,"175-177 Great Portland Street, London W1W 5PJ, England",W1W 5PJ,https://media-cdn.tripadvisor.com/media/photo-w/10/62/c1/46/grilled-asparagus-with.jpg,,,mediterranean european turkish middleeastern vegetarianfriendly veganoptions halal glutenfreeoptions,I knew it would be good from the start Turkish Breakfast baklava borek kunefe,I knew it would be good from the start Turkish Breakfast baklava borek kunefe mediterranean european turkish middleeastern vegetarianfriendly veganoptions halal glutenfreeoptions
Tower Tandoori,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d815603-Reviews-Tower_Tandoori-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d815603-Reviews-Tower_Tandoori-London_England.html#REVIEWS,££ - £££ Indian Asian Balti Bangladeshi Fusion Vegetarian Friendly Vegan Options Halal Gluten Free Options,Indian; Asian; Fusion; Vegetarian Friendly; Vegan Options; Halal; Gluten Free Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c24-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c3-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c17-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10697-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10751-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10992-London_England.html,Tasty Indian food and good service; Consistently Good!,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d815603-Reviews-Tower_Tandoori-London_England.html,4.5,"Search available times for this restaurant; Indian, Asian, Balti, Bangladeshi, Fusion, Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",$$ - $$$,592,“curry”,“thali”,“samosas”,"74-76 Tower Bridge Road, London SE1 4TP, England",SE1 4TP,https://media-cdn.tripadvisor.com/media/photo-w/12/8d/31/44/the-stump-jump-exclusively.jpg,,,indian asian fusion vegetarianfriendly veganoptions halal glutenfreeoptions,Tasty Indian food and good service Consistently Good curry thali samosas,Tasty Indian food and good service Consistently Good curry thali samosas indian asian fusion vegetarianfriendly veganoptions halal glutenfreeoptions
Fiddie’s Italian Kitchen,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8734724-Reviews-Fiddie_s_Italian_Kitchen-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8734724-Reviews-Fiddie_s_Italian_Kitchen-London_England.html#REVIEWS,££ - £££ Italian Pizza Mediterranean European Vegetarian Friendly Vegan Options Gluten Free Options,Italian; Pizza; Mediterranean; European; Vegetarian Friendly; Vegan Options; Gluten Free Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c26-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c31-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c28-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c18-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10697-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10992-London_England.html,Very nice surprise; Really good !,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8734724-Reviews-Fiddie_s_Italian_Kitchen-London_England.html,4.5,"Italian, Pizza, Mediterranean, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",$$ - $$$,"1,060",“pasta”,“tiramisu”,“garlic bread”,"13 New College Parade | Finchley Rd, London NW3 5EP, England",NW3 5EP,https://media-cdn.tripadvisor.com/media/photo-s/12/7e/14/16/photo0jpg.jpg,,,italian pizza mediterranean european vegetarianfriendly veganoptions glutenfreeoptions,Very nice surprise Really good  pasta tiramisu garlic bread,Very nice surprise Really good  pasta tiramisu garlic bread italian pizza mediterranean european vegetarianfriendly veganoptions glutenfreeoptions
Mere,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12228960-Reviews-Mere-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12228960-Reviews-Mere-London_England.html#REVIEWS,££££ European Vegetarian Friendly Vegan Options Gluten Free Options,European; Vegetarian Friendly; Vegan Options; Gluten Free Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c18-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10697-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10992-London_England.html,Amazing; Best wine pairings! Must try! Worthy of a...,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12228960-Reviews-Mere-London_England.html,4.5,"Search available times for this restaurant; European, Vegetarian Friendly, Vegan Options, Gluten Free Options",$$$$,346,“squab”,“tasting menu”,“scallops”,"74 Charlotte Street, London W1T 4QH, England",W1T 4QH,https://media-cdn.tripadvisor.com/media/photo-s/0f/4c/1f/e5/a-la-carte.jpg,,,european vegetarianfriendly veganoptions glutenfreeoptions,Amazing Best wine pairings Must try Worthy of a squab tasting menu scallops,Amazing Best wine pairings Must try Worthy of a squab tasting menu scallops european vegetarianfriendly veganoptions glutenfreeoptions
The Sitara,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2244333-Reviews-The_Sitara-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2244333-Reviews-The_Sitara-London_England.html#REVIEWS,££ - £££ Indian Asian Vegetarian Friendly Vegan Options Halal Gluten Free Options,Indian; Asian; Vegetarian Friendly; Vegan Options; Halal; Gluten Free Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c24-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c3-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10697-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10751-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10992-London_England.html,Curry and jazzz; A great meal,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2244333-Reviews-The_Sitara-London_England.html,4.5,"Indian, Asian, Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",$$ - $$$,495,“curry”,“dahl”,“okra”,"784 Holloway Road | Archway, London N19 3JH, England",N19 3JH,https://media-cdn.tripadvisor.com/media/photo-w/11/63/98/27/external-sign.jpg,,,indian asian vegetarianfriendly veganoptions halal glutenfreeoptions,Curry and jazzz A great meal curry dahl okra,Curry and jazzz A great meal curry dahl okra indian asian vegetarianfriendly veganoptions halal glutenfreeoptions
Alexandrie Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7589353-Reviews-Alexandrie_Restaurant-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7589353-Reviews-Alexandrie_Restaurant-London_England.html#REVIEWS,££££ Mediterranean Middle Eastern Egyptian Vegan Options Gluten Free Options Vegetarian Friendly,Mediterranean; Middle Eastern; Vegan Options; Gluten Free Options; Vegetarian Friendly,https://www.tripadvisor.co.uk/Restaurants-g186338-c28-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c30-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10697-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10992-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html,Must try - Amazing experience and menu; wonderful neighbourhood find,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7589353-Reviews-Alexandrie_Restaurant-London_England.html,5.0,"Mediterranean, Middle Eastern, Egyptian, Vegan Options, Gluten Free Options, Vegetarian Friendly",$$$$,151,“okra”,“lamb shank”,“moules”,"38C Kensington Church Street, London W8 4BX, England",W8 4BX,https://media-cdn.tripadvisor.com/media/photo-w/0e/7c/90/f5/drinks-reception-at-alexandrie.jpg,,,mediterranean middleeastern veganoptions glutenfreeoptions vegetarianfriendly,Must try - Amazing experience and menu wonderful neighbourhood find okra lamb shank moules,Must try - Amazing experience and menu wonderful neighbourhood find okra lamb shank moules mediterranean middleeastern veganoptions glutenfreeoptions vegetarianfriendly
28 Church Row,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10454229-Reviews-28_Church_Row-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10454229-Reviews-28_Church_Row-London_England.html#REVIEWS,££ - £££ Italian European Spanish Vegetarian Friendly Gluten Free Options,Italian; European; Spanish; Vegetarian Friendly; Gluten Free Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c26-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c18-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c36-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10992-London_England.html,Superb; A hidden gem!,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10454229-Reviews-28_Church_Row-London_England.html,5.0,"Italian, European, Spanish, Vegetarian Friendly, Gluten Free Options",$$ - $$$,104,“croquettes”,“iberico”,“tapas”,"28 Church Row, London NW3 6UP, England",NW3 6UP,https://media-cdn.tripadvisor.com/media/photo-w/0b/dc/ee/54/open-kitchen.jpg,,,italian european spanish vegetarianfriendly glutenfreeoptions,Superb A hidden gem croquettes iberico tapas,Superb A hidden gem croquettes iberico tapas italian european spanish vegetarianfriendly glutenfreeoptions
Pizzetta Pizza,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8756059-Reviews-Pizzetta_Pizza-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8756059-Reviews-Pizzetta_Pizza-London_England.html#REVIEWS,£ Italian Pizza Cafe Fast food Vegetarian Friendly Vegan Options Gluten Free Options,Italian; Pizza; Cafe; Fast food; Vegetarian Friendly; Vegan Options; Gluten Free Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c26-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c31-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c8-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c10646-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10697-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10992-London_England.html,Perfect pizzetta; Great lunch spot..,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8756059-Reviews-Pizzetta_Pizza-London_England.html,5.0,"Italian, Pizza, Cafe, Fast Food, Vegetarian Friendly, Vegan Options, Gluten Free Options",$,148,“pizza”,“chilli”,“sandwiches”,"22 Bute Street | South Kensington, London SW7 3EX, England",SW7 3EX,https://media-cdn.tripadvisor.com/media/photo-w/09/7b/20/f9/pizzetta-pizza.jpg,,,italian pizza cafe fastfood vegetarianfriendly veganoptions glutenfreeoptions,Perfect pizzetta Great lunch spot pizza chilli sandwiches,Perfect pizzetta Great lunch spot pizza chilli sandwiches italian pizza cafe fastfood vegetarianfriendly veganoptions glutenfreeoptions
Green Pea,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2311519-Reviews-Green_Pea-London_England.html,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2311519-Reviews-Green_Pea-London_England.html#REVIEWS,££ - £££ Irish Bar British Vegetarian Friendly Vegan Options Gluten Free Options,Irish; British; Vegetarian Friendly; Vegan Options; Gluten Free Options,https://www.tripadvisor.co.uk/Restaurants-g186338-c25-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-c7-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10665-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10697-London_England.html; https://www.tripadvisor.co.uk/Restaurants-g186338-zfz10992-London_England.html,A Sunday Roast menu; Sunday lunch,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2311519-Reviews-Green_Pea-London_England.html,4.5,"Irish, Bar, British, Vegetarian Friendly, Vegan Options, Gluten Free Options",$$ - $$$,789,“pies”,“lamb shank”,“ham”,"92 Trafalgar Road, London SE10 9UW, England",SE10 9UW,https://media-cdn.tripadvisor.com/media/photo-w/05/8b/4e/12/new-boards.jpg,,,irish british vegetarianfriendly veganoptions glutenfreeoptions,A Sunday Roast menu Sunday lunch pies lamb shank ham,A Sunday Roast menu Sunday lunch pies lamb shank ham irish british vegetarianfriendly veganoptions glutenfreeoptions
